hour,day_of_week,zone_type,traffic_density,nearby_events,temperature,wind_speed,noise_db
6,Tuesday,transport,31.50564966075994,3,23.14994796339007,15.939313106678858,71.39978994588982
19,Tuesday,transport,54.18801732762199,1,28.547023844317025,1.6401921593266366,86.38860733557127
14,Tuesday,park,9.124484130425536,1,19.25536587205012,28.582398029776154,58.805998488834625
10,Thursday,industrial,67.894542428067,3,15.55551598799846,23.7761167834297,107.8222017943026
7,Wednesday,park,72.50960188976508,4,23.424578061031266,4.472936834081848,82.14448707491056
20,Tuesday,transport,96.50316229099188,3,36.63427003752645,29.449466288648004,109.47929558952967
6,Sunday,residential,26.039735874507166,0,16.08670998309287,22.107041165151237,45.20866456828986
18,Tuesday,residential,1.8456419043022643,0,25.723226475422937,14.169649512849267,54.52579614226011
22,Saturday,commercial,54.56084644271506,1,34.05501932315207,18.341101696787195,78.90792300937655
10,Monday,commercial,70.67905043968145,3,38.829564922772136,3.2021004604379257,96.28402157012275
10,Saturday,residential,79.0407475882988,3,39.6368849751108,16.81234530046833,87.40348368719988
23,Saturday,transport,19.37389330248106,3,25.549234515218544,2.209832160511782,67.79638601696965
20,Monday,commercial,26.175286903702364,4,38.75960735947794,16.345657713579058,84.57649597034268
3,Sunday,park,51.25909252672963,2,15.885474332021593,16.580870662883562,55.73257488578096
7,Wednesday,park,33.060080997000185,2,33.64792344996391,26.23316355482232,63.436286122723864
23,Saturday,transport,86.05114865874451,2,31.068650865840322,21.75172500816882,88.0109969090242
2,Wednesday,commercial,47.37601537387203,4,21.238046439653807,7.486571766453602,75.31895706356222
21,Saturday,park,79.9578644102003,3,27.682962516991225,26.652784265635706,82.58451852232731
20,Friday,commercial,58.06197604823537,2,18.23884344401239,17.197279945440172,84.03660871779076
1,Monday,commercial,77.3090141617112,3,36.78992877378903,18.19138435722101,81.81585151023509
23,Saturday,park,33.267298653032384,1,23.947452138641196,5.06944107666535,47.442199695261706
11,Friday,residential,83.14166219303112,2,30.651111761642916,25.73320787907342,83.46565641700512
